"DisplayName","DisplayVersion","InstallLocation"
"Nvidia Share","3.26.0.131","C:\Program Files\NVIDIA Corporation\Installer2\OSC.{8E3C69D1-39C1-4E19-A4DD-62BD9A44337C}"
"NVIDIA SHIELD Streaming","7.1.31648965","C:\Program Files\NVIDIA Corporation\NvStreamSrv"
"NVIDIA SHIELD Wireless Controller Driver","3.26.0.94","C:\Program Files\NVIDIA Corporation\Installer2\ShieldWirelessController.{F4B8C8B9-B7B2-411F-AF35-62E05F730328}"
"NVIDIA Telemetry Client","16.15.11.0","C:\Program Files\NVIDIA Corporation\NvTelemetry"
"NVIDIA TelemetryApi helper for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.ContainerTelemetryApiHelper.{CFA992E9-C0CE-49E4-B033-61595F920ED1}"
"NVIDIA Update 39.4.0.0","39.4.0.0","C:\Program Files\NVIDIA Corporation\Installer2\Display.Update.{0281645A-B107-4E16-92CA-CB2E25952584}"
"NVIDIA Update Core","39.4.0.0","C:\Program Files (x86)\NVIDIA Corporation\Update Core"
"NVIDIA User Container","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvContainer.User.{E230BFF2-14A5-4CEF-847E-1C0997E147D8}"
"NVIDIA Virtual Audio 4.45.0.0","4.45.0.0","C:\Program Files\NVIDIA Corporation\Installer2\VirtualAudio.Driver.{AC63354B-773F-4DB3-A5E3-B9B22CFC9AC2}"
"NVIDIA Virtual Host Controller","3.04.0.1","C:\Program Files\NVIDIA Corporation\Installer2\NvVHCI.{01E93CB7-AB7D-413B-97F7-2B94B273B7FE}"
"NVIDIA Watchdog Plugin for NvContainer","1.37","C:\Program Files\NVIDIA Corporation\Installer2\NvPlugin.Watchdog.{D3905139-E754-4624-8579-88869D2D42E4}"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.15629.20118",""
"Office 16 Click-to-Run Licensing Component","16.0.15629.20156",""
"OneClickFirewall","1.0.0.2",
"OpenXR-Toolkit","1.2.0",""
"OVR Locomotion Effect",,"F:\SteamLibrary\steamapps\common\OVRLocomotionEffect"
"PATCH for PowerDirector20",,
"Pavlov VR",,"C:\Program Files (x86)\Steam\steamapps\common\PavlovVR"
"PeaZip 8.8.0 (WIN64)","8.8.0","C:\Program Files\PeaZip\"
"PGA TOUR 2K23",,"F:\SteamLibrary\steamapps\common\PGA TOUR 2K23"
"Pinegrow Web Editor version 6.5","6.5","C:\Program Files\Pinegrow Web Editor\"
"POPULATION: ONE",,"F:\SteamLibrary\steamapps\common\PopulationONE"
"PowerShell Studio 2022","5.8.203.0","C:\Program Files\SAPIEN Technologies, Inc\PowerShell Studio 2022\"
"Project CARS 3",,"G:\SteamLibrary\steamapps\common\Project CARS 3"
"Pulover's Macro Creator version 5.4.1","5.4.1","C:\Program Files\MacroCreator\"
"PunjiVR",,"F:\SteamLibrary\steamapps\common\content"
"Python 3.10.7 Add to Path (64-bit)","3.10.7150.0",""
"Python 3.10.7 Core Interpreter (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Core Interpreter (64-bit symbols)","3.10.7150.0",""
"Python 3.10.7 Core Interpreter (64-bit)","3.10.7150.0",""
"Python 3.10.7 Development Libraries (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Development Libraries (64-bit)","3.10.7150.0",""
"Python 3.10.7 Documentation (64-bit)","3.10.7150.0",""
"Python 3.10.7 Executables (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Executables (64-bit symbols)","3.10.7150.0",""
